Long	Lat	N
47.7916666666667	-11.4583333333333	-29.601933
47.8333333333333	-11.4583333333333	-29.627514
47.875	-11.4583333333333	-29.636461
47.9166666666667	-11.4583333333333	-29.630564
47.9583333333333	-11.4583333333333	-29.615135
48	-11.4583333333333	-29.59396
48.0416666666667	-11.4583333333333	-29.568151
48.0833333333333	-11.4583333333333	-29.541004
48.125	-11.4583333333333	-29.519917
48.1666666666667	-11.4583333333333	-29.508659
48.2083333333333	-11.4583333333333	-29.499214
48.25	-11.4583333333333	-29.478045
48.2916666666667	-11.4583333333333	-29.442474
48.3333333333333	-11.4583333333333	-29.404463
48.375	-11.4583333333333	-29.374159
48.4166666666667	-11.4583333333333	-29.345839
48.4583333333333	-11.4583333333333	-29.306625
48.5	-11.4583333333333	-29.254255
